City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
2,Cape Town,ZA,70.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
5,Albany,US,77.77,overcast clouds,42.6001,-73.9662,
8,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Rikitea,PF,74.25,light rain,-23.1203,-134.9692,People ThankYou
12,Qui Nhon,VN,78.96,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
16,Itarema,BR,82.18,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
21,Hilo,US,80.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
26,Gizo,SB,80.91,clear sky,-8.103,156.8419,Imagination Island
28,Malatya,TR,71.65,clear sky,38.5,38.0,
33,Port Alfred,ZA,68.85,broken clouds,-33.5906,26.891,The Halyards Hotel
34,Ribeira Grande,PT,68.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
35,Namatanai,PG,78.46,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
36,East London,ZA,68.94,clear sky,-33.0153,27.9116,Tu Casa
37,Bartica,GY,82.72,moderate rain,6.4,-58.6167,Sloth Island Nature Resort
38,Gebze,TR,69.06,broken clouds,40.8028,29.4307,Holiday Inn Gebze - Istanbul Asia
39,San Quintin,MX,73.67,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
42,Atuona,PF,77.49,few clouds,-9.8,-139.0333,Villa Enata
45,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
46,Haimen,CN,76.89,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
48,Banda Aceh,ID,80.01,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
49,Santa Cruz,BO,71.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
50,Jamestown,US,74.95,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
51,Butaritari,KI,81.39,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
56,Natitingou,BJ,80.02,broken clouds,10.3042,1.3796,Cotonou
59,Torbay,CA,72.37,broken clouds,47.6666,-52.7314,Gallows Cove
63,Bethel,US,77.41,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
64,Svetla Nad Sazavou,CZ,74.98,scattered clouds,49.668,15.4039,Světlá nad Sázavou Castle
65,Shiyan,CN,73.08,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
67,Semporna,MY,79.61,few clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
68,Lang Son,VN,75.33,overcast clouds,21.8333,106.7333,Khai Nga Hotel
71,Bonfim,BR,75.58,overcast clouds,3.0833,-59.95,
73,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
76,Ovalle,CL,70.66,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
77,Gamba,GA,75.94,clear sky,-2.65,10.0,
80,Lasa,IT,72.48,clear sky,46.6166,10.7002,Pension Feldgärtenhof
87,Victoria,HK,80.65,overcast clouds,22.2855,114.1577,Mini Central
91,Lagos,NG,79.12,moderate rain,6.5833,3.75,
94,Abidjan,CI,82.36,scattered clouds,5.3094,-4.0197,ibis Abidjan Plateau
96,Amalapuram,IN,80.28,overcast clouds,16.5833,82.0167,swayamprabha service apartments
98,Sao Filipe,CV,73.72,few clouds,14.8961,-24.4956,Hotel Xaguate
99,Kavieng,PG,81.86,clear sky,-2.5744,150.7967,Nusa Island Retreat
102,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
103,Peniche,PT,76.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
105,Pontes E Lacerda,BR,71.35,overcast clouds,-15.2261,-59.3353,Hotel Bressan
106,Muros,ES,77.68,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
110,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
