City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,2022-06-11 18:22:31,71.9667,102.5,46.87,64,45,9.62,scattered clouds
1,Mahebourg,MU,2022-06-11 18:23:03,-20.4081,57.7,73.69,73,75,10.36,broken clouds
2,Cape Town,ZA,2022-06-11 18:20:08,-33.9258,18.4232,70.12,48,0,6.91,clear sky
3,Longyearbyen,SJ,2022-06-11 18:19:57,78.2186,15.6401,39.04,70,75,9.22,broken clouds
4,Castro,BR,2022-06-11 18:23:04,-24.7911,-50.0119,53.29,59,100,5.41,overcast clouds
5,Albany,US,2022-06-11 18:23:05,42.6001,-73.9662,77.77,50,100,1.01,overcast clouds
6,Aasiaat,GL,2022-06-11 18:23:05,68.7098,-52.8699,34.2,88,82,8.37,broken clouds
7,Moose Factory,CA,2022-06-11 18:23:06,51.2585,-80.6094,57.2,77,100,10.36,overcast clouds
8,Kapaa,US,2022-06-11 18:23:06,22.0752,-159.319,78.78,83,75,12.66,broken clouds
9,Provideniya,RU,2022-06-11 18:23:07,64.3833,-173.3,36.84,71,53,1.92,broken clouds
10,Rikitea,PF,2022-06-11 18:23:08,-23.1203,-134.9692,74.25,80,30,13.49,light rain
11,Nikolskoye,RU,2022-06-11 18:23:09,59.7035,30.7861,66.09,71,49,3.67,scattered clouds
12,Qui Nhon,VN,2022-06-11 18:23:09,13.7667,109.2333,78.96,84,66,3.42,broken clouds
13,Constitucion,CL,2022-06-11 18:23:10,-35.3333,-72.4167,60.03,45,5,2.06,clear sky
14,Saint-Philippe,RE,2022-06-11 18:23:11,-21.3585,55.7679,67.59,79,67,12.71,broken clouds
15,Chokurdakh,RU,2022-06-11 18:23:11,70.6333,147.9167,49.69,50,15,11.03,few clouds
16,Itarema,BR,2022-06-11 18:23:12,-2.9248,-39.9167,82.18,72,66,11.3,broken clouds
17,Maniitsoq,GL,2022-06-11 18:23:12,65.4167,-52.9,41.74,78,32,10.49,scattered clouds
18,Punta Arenas,CL,2022-06-11 18:23:13,-53.15,-70.9167,44.71,87,75,9.22,broken clouds
19,Beroroha,MG,2022-06-11 18:23:13,-21.6667,45.1667,65.77,56,0,4.34,clear sky
20,Norman Wells,CA,2022-06-11 18:23:14,65.282,-126.8329,55.44,71,75,10.36,light intensity shower rain
21,Hilo,US,2022-06-11 18:20:00,19.7297,-155.09,80.28,68,75,3.0,broken clouds
22,Kruisfontein,ZA,2022-06-11 18:23:15,-34.0033,24.7314,62.89,24,50,8.57,scattered clouds
23,Thabazimbi,ZA,2022-06-11 18:23:16,-24.5917,27.4116,56.73,42,0,2.95,clear sky
24,Havoysund,NO,2022-06-11 18:20:54,70.9963,24.6622,48.43,80,92,10.54,light rain
25,Teguise,ES,2022-06-11 18:23:17,29.0605,-13.564,70.02,73,20,19.57,few clouds
26,Gizo,SB,2022-06-11 18:23:18,-8.103,156.8419,80.91,75,4,4.59,clear sky
27,Airai,TL,2022-06-11 18:22:26,-8.9266,125.4092,56.21,87,76,3.69,broken clouds
28,Malatya,TR,2022-06-11 18:23:19,38.5,38.0,71.65,41,0,4.61,clear sky
29,Barrow,US,2022-06-11 18:19:56,71.2906,-156.7887,33.82,75,100,14.97,overcast clouds
30,Shimoda,JP,2022-06-11 18:23:19,34.6667,138.95,63.1,89,100,21.5,overcast clouds
31,Chuy,UY,2022-06-11 18:23:20,-33.6971,-53.4616,53.58,59,73,17.56,broken clouds
32,Kangaatsiaq,GL,2022-06-11 18:23:21,68.3065,-53.4641,33.67,90,71,14.43,broken clouds
33,Port Alfred,ZA,2022-06-11 18:23:21,-33.5906,26.891,68.85,38,51,10.11,broken clouds
34,Ribeira Grande,PT,2022-06-11 18:23:22,38.5167,-28.7,68.4,68,20,14.97,few clouds
35,Namatanai,PG,2022-06-11 18:23:22,-3.6667,152.4333,78.46,80,6,7.16,clear sky
36,East London,ZA,2022-06-11 18:23:23,-33.0153,27.9116,68.94,45,0,8.05,clear sky
37,Bartica,GY,2022-06-11 18:23:24,6.4,-58.6167,82.72,81,100,4.07,moderate rain
38,Gebze,TR,2022-06-11 18:23:24,40.8028,29.4307,69.06,83,75,10.36,broken clouds
39,San Quintin,MX,2022-06-11 18:23:25,30.4833,-115.95,73.67,64,27,10.67,scattered clouds
40,Hobart,AU,2022-06-11 18:23:25,-42.8794,147.3294,39.25,85,75,14.97,broken clouds
41,West Odessa,US,2022-06-11 18:23:26,31.8424,-102.4988,99.68,22,0,11.5,clear sky
42,Atuona,PF,2022-06-11 18:23:27,-9.8,-139.0333,77.49,68,16,14.54,few clouds
43,Saskylakh,RU,2022-06-11 18:23:27,71.9167,114.0833,50.77,59,10,10.38,clear sky
44,Mataura,NZ,2022-06-11 18:23:28,-46.1927,168.8643,37.47,89,77,6.13,broken clouds
45,Vaini,TO,2022-06-11 18:23:28,-21.2,-175.2,73.56,100,40,4.61,scattered clouds
46,Haimen,CN,2022-06-11 18:23:29,23.1935,116.6142,76.89,92,100,1.54,overcast clouds
47,Anadyr,RU,2022-06-11 18:23:30,64.75,177.4833,43.3,65,0,15.66,clear sky
48,Banda Aceh,ID,2022-06-11 18:24:30,5.5577,95.3222,80.01,76,88,8.46,overcast clouds
49,Santa Cruz,BO,2022-06-11 18:24:31,-17.8,-63.1667,71.06,40,75,23.02,broken clouds
50,Jamestown,US,2022-06-11 18:20:57,42.097,-79.2353,74.95,42,52,8.01,broken clouds
51,Butaritari,KI,2022-06-11 18:24:32,3.0707,172.7902,81.39,77,48,11.45,scattered clouds
52,Ushuaia,AR,2022-06-11 18:21:31,-54.8,-68.3,40.66,87,75,5.75,light intensity drizzle
53,Kovdor,RU,2022-06-11 18:24:33,67.5662,30.4758,61.63,41,94,8.28,overcast clouds
54,Narsaq,GL,2022-06-11 18:24:34,60.9167,-46.05,57.42,58,100,2.33,overcast clouds
55,Calvinia,ZA,2022-06-11 18:24:34,-31.4707,19.776,62.26,22,95,8.08,overcast clouds
56,Natitingou,BJ,2022-06-11 18:24:35,10.3042,1.3796,80.02,68,64,1.9,broken clouds
57,Deputatskiy,RU,2022-06-11 18:24:35,69.3,139.9,49.03,70,36,4.21,scattered clouds
58,Berbera,SO,2022-06-11 18:24:36,10.4396,45.0143,92.93,42,99,4.18,overcast clouds
59,Torbay,CA,2022-06-11 18:24:37,47.6666,-52.7314,72.37,53,75,20.71,broken clouds
60,Kodiak,US,2022-06-11 18:20:43,57.79,-152.4072,53.11,82,100,8.05,overcast clouds
61,Salym,RU,2022-06-11 18:24:38,60.0625,71.4789,55.69,98,95,3.24,moderate rain
62,Tessalit,ML,2022-06-11 18:24:39,20.1986,1.0114,99.14,14,63,15.3,broken clouds
63,Bethel,US,2022-06-11 18:20:05,41.3712,-73.414,77.41,54,0,0.0,clear sky
64,Svetla Nad Sazavou,CZ,2022-06-11 18:24:40,49.668,15.4039,74.98,68,30,2.82,scattered clouds
65,Shiyan,CN,2022-06-11 18:24:40,32.6475,110.7781,73.08,75,100,3.62,overcast clouds
66,Qaanaaq,GL,2022-06-11 18:24:41,77.484,-69.3632,30.11,73,100,3.83,overcast clouds
67,Semporna,MY,2022-06-11 18:24:41,4.4818,118.6112,79.61,83,21,3.76,few clouds
68,Lang Son,VN,2022-06-11 18:21:08,21.8333,106.7333,75.33,95,100,2.77,overcast clouds
69,Dutlwe,BW,2022-06-11 18:24:42,-23.9833,23.9,56.82,30,0,6.6,clear sky
70,Nanortalik,GL,2022-06-11 18:24:43,60.1432,-45.2371,46.51,61,100,11.59,light rain
71,Bonfim,BR,2022-06-11 18:24:43,3.0833,-59.95,75.58,89,100,1.83,overcast clouds
72,Garoua,CM,2022-06-11 18:24:44,9.3,13.4,89.37,43,9,5.44,clear sky
73,Puerto Ayora,EC,2022-06-11 18:24:45,-0.7393,-90.3518,76.96,89,76,7.0,broken clouds
74,Sitka,US,2022-06-11 18:24:45,57.0531,-135.33,51.69,82,100,8.05,moderate rain
75,Souillac,MU,2022-06-11 18:24:46,-20.5167,57.5167,73.78,73,75,10.36,broken clouds
76,Ovalle,CL,2022-06-11 18:24:47,-30.5983,-71.2003,70.66,36,0,3.69,clear sky
77,Gamba,GA,2022-06-11 18:24:47,-2.65,10.0,75.94,86,10,4.88,clear sky
78,Mar Del Plata,AR,2022-06-11 18:24:48,-38.0023,-57.5575,55.42,65,0,11.5,light rain
79,Bredasdorp,ZA,2022-06-11 18:24:48,-34.5322,20.0403,65.7,33,100,4.43,overcast clouds
80,Lasa,IT,2022-06-11 18:24:49,46.6166,10.7002,72.48,58,0,5.68,clear sky
81,Tuktoyaktuk,CA,2022-06-11 18:24:49,69.4541,-133.0374,39.2,87,100,13.8,overcast clouds
82,Coquimbo,CL,2022-06-11 18:24:50,-29.9533,-71.3436,55.13,76,20,6.91,few clouds
83,Sur,OM,2022-06-11 18:24:51,22.5667,59.5289,88.36,72,0,13.53,clear sky
84,Thompson,CA,2022-06-11 18:24:51,55.7435,-97.8558,66.36,42,40,6.91,scattered clouds
85,Severo-Kurilsk,RU,2022-06-11 18:24:52,50.6789,156.125,43.23,86,87,11.07,overcast clouds
86,Laguna,US,2022-06-11 18:21:53,38.421,-121.4238,93.94,33,0,5.75,clear sky
87,Victoria,HK,2022-06-11 18:22:40,22.2855,114.1577,80.65,86,100,4.0,overcast clouds
88,Svetlyy,RU,2022-06-11 18:24:53,54.675,20.1347,66.25,74,4,1.28,clear sky
89,Tuatapere,NZ,2022-06-11 18:24:53,-46.1333,167.6833,35.6,95,82,6.33,broken clouds
90,Jizan,SA,2022-06-11 18:24:54,17.3333,42.6667,90.54,58,2,2.86,clear sky
91,Lagos,NG,2022-06-11 18:20:53,6.5833,3.75,79.12,91,100,6.38,moderate rain
92,Tokur,RU,2022-06-11 18:24:55,53.1333,132.9,51.08,74,49,3.22,scattered clouds
93,Umm Kaddadah,SD,2022-06-11 18:24:56,13.6017,26.6876,97.03,23,99,9.46,overcast clouds
94,Abidjan,CI,2022-06-11 18:22:19,5.3094,-4.0197,82.36,78,40,11.5,scattered clouds
95,Verkhnyaya Inta,RU,2022-06-11 18:24:57,65.9811,60.3094,47.14,76,94,16.04,overcast clouds
96,Amalapuram,IN,2022-06-11 18:25:57,16.5833,82.0167,80.28,77,100,5.12,overcast clouds
97,Agadez,NE,2022-06-11 18:25:58,19.75,10.25,98.64,14,99,5.82,overcast clouds
98,Sao Filipe,CV,2022-06-11 18:25:58,14.8961,-24.4956,73.72,84,20,4.68,few clouds
99,Kavieng,PG,2022-06-11 18:26:03,-2.5744,150.7967,81.86,72,8,13.53,clear sky
100,Zyryanka,RU,2022-06-11 18:26:04,65.75,150.85,46.85,87,98,5.53,overcast clouds
101,Boa Vista,BR,2022-06-11 18:25:08,2.8197,-60.6733,85.98,58,20,4.61,few clouds
102,Bambous Virieux,MU,2022-06-11 18:26:05,-20.3428,57.7575,73.65,73,75,10.36,broken clouds
103,Peniche,PT,2022-06-11 18:26:06,39.3558,-9.3811,76.28,79,2,20.09,clear sky
104,Saint-Georges,GD,2022-06-11 18:26:06,12.0564,-61.7485,85.68,70,20,29.93,few clouds
105,Pontes E Lacerda,BR,2022-06-11 18:26:07,-15.2261,-59.3353,71.35,53,99,7.23,overcast clouds
106,Muros,ES,2022-06-11 18:26:08,42.7762,-9.0603,77.68,74,34,16.75,scattered clouds
107,Hermanus,ZA,2022-06-11 18:26:08,-34.4187,19.2345,66.22,50,100,6.6,overcast clouds
108,Nome,US,2022-06-11 18:26:09,64.5011,-165.4064,46.17,49,0,8.05,clear sky
109,Ilulissat,GL,2022-06-11 18:26:10,69.2167,-51.1,37.42,70,20,8.05,few clouds
110,Avarua,CK,2022-06-11 18:26:11,-21.2078,-159.775,75.25,69,75,8.05,broken clouds
111,Faanui,PF,2022-06-11 18:26:12,-16.4833,-151.75,79.77,76,22,18.63,moderate rain
112,San Lawrenz,MT,2022-06-11 18:26:12,36.0553,14.204,72.86,78,0,8.99,clear sky
113,Corrente,BR,2022-06-11 18:26:13,-3.7367,-43.3394,84.6,66,35,3.69,scattered clouds
114,Camocim,BR,2022-06-11 18:26:13,-2.9022,-40.8411,83.17,71,33,11.14,scattered clouds
115,Dikson,RU,2022-06-11 18:26:14,73.5069,80.5464,35.96,89,100,5.21,overcast clouds
116,Clyde River,CA,2022-06-11 18:25:18,70.4692,-68.5914,34.03,86,100,14.97,overcast clouds
117,Kidal,ML,2022-06-11 18:26:15,18.4411,1.4078,91.17,27,50,9.48,light rain
118,Henties Bay,NA,2022-06-11 18:26:16,-22.116,14.2845,65.43,63,0,2.8,clear sky
119,Bluff,NZ,2022-06-11 18:26:16,-46.6,168.3333,37.8,73,93,17.45,overcast clouds
120,Busselton,AU,2022-06-11 18:26:17,-33.65,115.3333,61.16,87,12,10.09,few clouds
121,Geraldton,AU,2022-06-11 18:26:17,-28.7667,114.6,64.81,94,100,4.61,light intensity shower rain
122,Taoudenni,ML,2022-06-11 18:26:18,22.6783,-3.9836,112.77,5,13,5.28,few clouds
123,Lagoa,PT,2022-06-11 18:26:19,39.05,-27.9833,60.3,84,100,8.3,overcast clouds
124,Byron Bay,AU,2022-06-11 18:26:19,-28.65,153.6167,50.59,65,2,8.52,clear sky
125,Mackay,AU,2022-06-11 18:26:20,-21.15,149.2,46.69,64,50,11.12,scattered clouds
126,New London,US,2022-06-11 18:25:42,41.4834,-72.0662,80.15,52,75,5.75,broken clouds
127,New Norfolk,AU,2022-06-11 18:26:21,-42.7826,147.0587,38.91,81,93,5.01,light rain
128,Ust-Nera,RU,2022-06-11 18:26:21,64.5667,143.2,47.62,54,32,6.06,scattered clouds
129,Kokopo,PG,2022-06-11 18:26:22,-4.352,152.2633,75.36,84,3,4.79,clear sky
130,Tautira,PF,2022-06-11 18:26:22,-17.7333,-149.15,78.1,81,57,21.3,light rain
131,Storm Lake,US,2022-06-11 18:24:44,42.6411,-95.2097,78.04,73,0,18.41,clear sky
132,Almeirim,BR,2022-06-11 18:26:24,-1.5233,-52.5817,78.94,83,94,2.33,overcast clouds
133,Kashi,CN,2022-06-11 18:26:25,39.4547,75.9797,74.41,31,20,4.47,few clouds
134,Sioux Lookout,CA,2022-06-11 18:26:25,50.1001,-91.917,60.87,55,20,8.05,few clouds
135,Cabanas,CU,2022-06-11 18:26:26,22.9758,-82.9219,84.13,66,8,2.35,light rain
136,Poum,NC,2022-06-11 18:26:26,-20.2333,164.0167,75.63,78,61,12.55,broken clouds
137,Kamaishi,JP,2022-06-11 18:26:27,39.2667,141.8833,60.35,99,100,3.76,overcast clouds
138,Nipawin,CA,2022-06-11 18:26:27,53.3668,-104.0009,62.64,82,40,13.8,scattered clouds
139,Kasongo-Lunda,CD,2022-06-11 18:26:28,-6.4667,16.8167,72.52,38,14,3.0,few clouds
140,Vao,NC,2022-06-11 18:27:29,-22.6667,167.4833,71.87,84,95,7.63,overcast clouds
141,Tromso,NO,2022-06-11 18:27:29,69.6496,18.957,48.38,93,75,3.44,light intensity shower rain
142,Hithadhoo,MV,2022-06-11 18:27:30,-0.6,73.0833,83.71,71,60,8.99,moderate rain
143,Creel,MX,2022-06-11 18:23:47,27.75,-107.6333,79.23,24,33,5.68,scattered clouds
144,Platanos,GR,2022-06-11 18:27:31,37.6667,21.6167,75.81,75,19,4.5,few clouds
145,Kyabram,AU,2022-06-11 18:27:32,-36.3167,145.05,47.88,64,100,14.36,overcast clouds
146,Ajdabiya,LY,2022-06-11 18:27:32,30.7554,20.2263,73.76,74,0,14.05,clear sky
147,Cherskiy,RU,2022-06-11 18:27:33,68.75,161.3,59.41,42,89,5.53,overcast clouds
148,Hasaki,JP,2022-06-11 18:27:33,35.7333,140.8333,66.6,92,100,16.96,overcast clouds
149,Saldanha,ZA,2022-06-11 18:27:34,-33.0117,17.9442,60.85,72,100,9.26,overcast clouds
150,Arraial Do Cabo,BR,2022-06-11 18:27:35,-22.9661,-42.0278,67.86,83,100,9.22,overcast clouds
151,Ishigaki,JP,2022-06-11 18:27:40,24.3448,124.1572,80.73,100,75,2.3,broken clouds
152,Bara,NG,2022-06-11 18:27:41,10.3744,10.7288,89.38,42,33,7.31,scattered clouds
153,Barrhead,GB,2022-06-11 18:27:41,55.7992,-4.3929,57.06,81,40,18.41,scattered clouds
154,Samarai,PG,2022-06-11 18:27:42,-10.6167,150.6667,79.84,80,91,7.78,overcast clouds
155,Cabo San Lucas,MX,2022-06-11 18:25:06,22.8909,-109.9124,86.61,69,40,8.05,scattered clouds
156,Shingu,JP,2022-06-11 18:27:43,33.7333,135.9833,65.07,89,100,7.87,light rain
157,Nantucket,US,2022-06-11 18:23:26,41.2835,-70.0995,75.31,60,0,9.22,clear sky
158,College,US,2022-06-11 18:27:44,64.8569,-147.8028,60.48,66,75,3.44,broken clouds
159,Mahdasht,IR,2022-06-11 18:27:45,35.7299,50.8111,82.62,46,0,33.38,clear sky
160,Qaqortoq,GL,2022-06-11 18:27:45,60.7167,-46.0333,45.55,60,100,3.42,overcast clouds
161,Esperance,AU,2022-06-11 18:27:46,-33.8667,121.9,57.87,76,38,16.93,scattered clouds
162,Orlik,RU,2022-06-11 18:27:47,52.5178,99.825,52.39,52,24,0.74,few clouds
163,Cidreira,BR,2022-06-11 18:27:47,-30.1811,-50.2056,53.2,56,4,18.95,clear sky
164,Motala,SE,2022-06-11 18:27:48,58.5371,15.0365,67.73,53,12,6.33,few clouds
165,Acapulco,MX,2022-06-11 18:27:48,16.8634,-99.8901,87.62,62,75,6.91,broken clouds
166,Moree,AU,2022-06-11 18:25:08,-29.4667,149.85,33.82,100,26,3.44,scattered clouds
167,Parkes,AU,2022-06-11 18:27:49,-33.1333,148.1833,46.35,77,65,8.93,broken clouds
168,Sao Joao Da Barra,BR,2022-06-11 18:27:50,-21.6403,-41.0511,71.69,86,100,11.01,overcast clouds
169,Harer,ET,2022-06-11 18:23:11,9.3094,42.1258,64.15,60,56,5.86,broken clouds
170,Kolyshley,RU,2022-06-11 18:27:51,52.7005,44.5367,61.97,83,58,7.58,broken clouds
171,Thinadhoo,MV,2022-06-11 18:27:51,0.5333,72.9333,84.02,72,100,10.31,overcast clouds
172,Aklavik,CA,2022-06-11 18:27:52,68.2191,-135.0107,37.4,87,100,11.5,overcast clouds
173,Urucui,BR,2022-06-11 18:27:53,-7.2294,-44.5561,89.24,43,57,6.35,broken clouds
174,Daru,PG,2022-06-11 18:27:53,-9.0763,143.2092,77.76,89,99,15.84,overcast clouds
175,Douentza,ML,2022-06-11 18:27:54,14.9951,-2.9517,101.08,21,21,5.35,few clouds
176,Cockburn Town,TC,2022-06-11 18:27:55,21.4612,-71.1419,85.96,62,40,14.97,scattered clouds
177,Port Elizabeth,ZA,2022-06-11 18:27:55,-33.918,25.5701,65.1,59,36,3.44,scattered clouds
178,Vardo,NO,2022-06-11 18:23:43,70.3705,31.1107,49.98,76,51,0.0,broken clouds
179,Treinta Y Tres,UY,2022-06-11 18:27:57,-33.2333,-54.3833,52.57,46,12,17.96,few clouds
180,Tasiilaq,GL,2022-06-11 18:27:57,65.6145,-37.6368,42.96,72,20,0.81,few clouds
181,Mount Isa,AU,2022-06-11 18:25:07,-20.7333,139.5,53.37,43,100,8.05,overcast clouds
182,Rawson,AR,2022-06-11 18:27:58,-43.3002,-65.1023,59.13,37,67,9.89,broken clouds
183,La Paz,BO,2022-06-11 18:28:59,-16.5,-68.15,55.38,11,20,6.91,few clouds
184,Lorengau,PG,2022-06-11 18:28:59,-2.0226,147.2712,80.56,76,43,5.44,scattered clouds
185,Pevek,RU,2022-06-11 18:24:54,69.7008,170.3133,38.89,60,92,7.2,overcast clouds
186,Mtimbira,TZ,2022-06-11 18:29:00,-8.7833,36.35,70.47,78,80,3.2,broken clouds
187,Saint-Pierre,RE,2022-06-11 18:29:01,-21.3393,55.4781,68.92,73,0,5.75,clear sky
188,Husavik,IS,2022-06-11 18:29:01,66.0449,-17.3389,43.77,98,100,7.67,overcast clouds
