City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2022-06-06 17:37:29,-33.6971,-53.4616,59.05,72,100,7.74
1,Mataura,NZ,2022-06-06 17:37:30,-46.1927,168.8643,43.63,87,93,4.5
2,Lavrentiya,RU,2022-06-06 17:37:30,65.5833,-171.0,38.86,72,88,1.5
3,Repalle,IN,2022-06-06 17:37:31,16.0167,80.85,88.34,59,92,12.73
4,Geraldton,AU,2022-06-06 17:37:31,-28.7667,114.6,59.41,44,0,14.97
5,Upernavik,GL,2022-06-06 17:37:32,72.7868,-56.1549,31.46,70,9,9.84
6,Bubaque,GW,2022-06-06 17:37:32,11.2833,-15.8333,80.94,80,82,15.68
7,Olafsvik,IS,2022-06-06 17:37:32,64.8945,-23.7142,47.68,61,100,10.07
8,Hermanus,ZA,2022-06-06 17:37:33,-34.4187,19.2345,65.73,42,3,7.61
9,Tiksi,RU,2022-06-06 17:37:33,71.6872,128.8694,36.57,96,100,5.75
10,Rikitea,PF,2022-06-06 17:37:34,-23.1203,-134.9692,72.54,71,93,18.61
11,Albany,US,2022-06-06 17:33:13,42.6001,-73.9662,78.78,38,76,3.8
12,Cabedelo,BR,2022-06-06 17:37:35,-6.9811,-34.8339,81.27,79,28,15.08
13,Auki,SB,2022-06-06 17:37:35,-8.7676,160.7034,75.94,88,16,3.76
14,Presidencia Roque Saenz Pena,AR,2022-06-06 17:37:35,-26.7852,-60.4388,59.63,96,100,8.21
15,Yellowknife,CA,2022-06-06 17:33:13,62.456,-114.3525,68.56,37,75,5.75
16,Cape Town,ZA,2022-06-06 17:37:36,-33.9258,18.4232,69.39,38,0,3.44
17,Namibe,AO,2022-06-06 17:37:36,-15.1961,12.1522,83.03,61,0,13.8
18,Hilo,US,2022-06-06 17:37:37,19.7297,-155.09,86.29,77,0,8.05
19,Huarmey,PE,2022-06-06 17:37:37,-10.0681,-78.1522,69.31,75,39,8.79
20,Gat,IL,2022-06-06 17:37:38,31.61,34.7642,78.4,100,43,5.93
